pupil_id,date,session,code,reason_recorded
P-1041,2026-09-07,AM,/,
P-1041,2026-09-07,PM,/,
P-1041,2026-09-08,AM,/,
P-1041,2026-09-08,PM,/,
P-1041,2026-09-10,AM,/,
P-1041,2026-09-10,PM,N,
P-1041,2026-09-11,AM,N,
P-1041,2026-09-11,PM,/,
P-1041,2026-09-14,AM,/,
P-1041,2026-09-14,PM,/,
P-1041,2026-09-16,AM,/,
P-1041,2026-09-16,PM,/,
P-1041,2026-09-17,AM,/,
P-1041,2026-09-17,PM,/,
P-1041,2026-09-18,AM,/,
P-1041,2026-09-18,PM,/,
P-1041,2026-09-21,AM,/,
P-1041,2026-09-21,PM,/,
P-1041,2026-09-22,AM,/,
P-1041,2026-09-22,PM,/,
P-1041,2026-09-23,AM,/,
P-1041,2026-09-23,PM,/,
P-1041,2026-09-24,AM,/,
P-1041,2026-09-24,PM,/,
P-1041,2026-09-25,AM,/,
P-1041,2026-09-25,PM,/,
P-1177,2026-09-07,AM,/,
P-1177,2026-09-07,PM,/,
P-1177,2026-09-08,AM,/,
P-1177,2026-09-08,PM,/,
P-1177,2026-09-10,AM,/,
P-1177,2026-09-10,PM,/,
P-1177,2026-09-11,AM,/,
P-1177,2026-09-11,PM,/,
P-1177,2026-09-14,AM,/,
P-1177,2026-09-14,PM,N,
P-1177,2026-09-16,AM,N,
P-1177,2026-09-16,PM,/,
P-1177,2026-09-17,AM,/,
P-1177,2026-09-17,PM,/,
P-1177,2026-09-18,AM,/,
P-1177,2026-09-18,PM,/,
P-1177,2026-09-21,AM,/,
P-1177,2026-09-21,PM,/,
P-1177,2026-09-22,AM,/,
P-1177,2026-09-22,PM,/,
P-1177,2026-09-23,AM,/,
P-1177,2026-09-23,PM,/,
P-1177,2026-09-24,AM,/,
P-1177,2026-09-24,PM,/,
P-1177,2026-09-25,AM,/,
P-1177,2026-09-25,PM,/,
P-1203,2026-09-07,AM,/,
P-1203,2026-09-07,PM,/,
P-1203,2026-09-08,AM,/,
P-1203,2026-09-08,PM,/,
P-1203,2026-09-10,AM,N,
P-1203,2026-09-10,PM,N,
P-1203,2026-09-11,AM,/,
P-1203,2026-09-11,PM,/,
P-1203,2026-09-14,AM,/,
P-1203,2026-09-14,PM,/,
P-1203,2026-09-16,AM,/,
P-1203,2026-09-16,PM,/,
P-1203,2026-09-17,AM,/,
P-1203,2026-09-17,PM,/,
P-1203,2026-09-18,AM,/,
P-1203,2026-09-18,PM,/,
P-1203,2026-09-21,AM,/,
P-1203,2026-09-21,PM,/,
P-1203,2026-09-22,AM,/,
P-1203,2026-09-22,PM,/,
P-1203,2026-09-23,AM,/,
P-1203,2026-09-23,PM,/,
P-1203,2026-09-24,AM,/,
P-1203,2026-09-24,PM,/,
P-1203,2026-09-25,AM,/,
P-1203,2026-09-25,PM,/,
P-1015,2026-09-07,AM,/,
P-1015,2026-09-07,PM,/,
P-1015,2026-09-08,AM,/,
P-1015,2026-09-08,PM,/,
P-1015,2026-09-10,AM,N,
P-1015,2026-09-10,PM,N,Mum called: dental appointment
P-1015,2026-09-11,AM,/,
P-1015,2026-09-11,PM,/,
P-1015,2026-09-14,AM,/,
P-1015,2026-09-14,PM,/,
P-1015,2026-09-16,AM,/,
P-1015,2026-09-16,PM,/,
P-1015,2026-09-17,AM,/,
P-1015,2026-09-17,PM,/,
P-1015,2026-09-18,AM,/,
P-1015,2026-09-18,PM,/,
P-1015,2026-09-21,AM,/,
P-1015,2026-09-21,PM,/,
P-1015,2026-09-22,AM,/,
P-1015,2026-09-22,PM,/,
P-1015,2026-09-23,AM,/,
P-1015,2026-09-23,PM,/,
P-1015,2026-09-24,AM,/,
P-1015,2026-09-24,PM,/,
P-1015,2026-09-25,AM,/,
P-1015,2026-09-25,PM,/,
P-1022,2026-09-07,AM,/,
P-1022,2026-09-07,PM,/,
P-1022,2026-09-08,AM,/,
P-1022,2026-09-08,PM,/,
P-1022,2026-09-10,AM,/,
P-1022,2026-09-10,PM,/,
P-1022,2026-09-11,AM,/,
P-1022,2026-09-11,PM,/,
P-1022,2026-09-14,AM,/,
P-1022,2026-09-14,PM,/,
P-1022,2026-09-16,AM,N,
P-1022,2026-09-16,PM,N,
P-1022,2026-09-17,AM,/,
P-1022,2026-09-17,PM,/,
P-1022,2026-09-18,AM,/,
P-1022,2026-09-18,PM,/,
P-1022,2026-09-21,AM,/,
P-1022,2026-09-21,PM,/,
P-1022,2026-09-22,AM,/,
P-1022,2026-09-22,PM,/,
P-1022,2026-09-23,AM,/,
P-1022,2026-09-23,PM,/,
P-1022,2026-09-24,AM,/,
P-1022,2026-09-24,PM,/,
P-1022,2026-09-25,AM,/,
P-1022,2026-09-25,PM,/,
P-1058,2026-09-07,AM,/,
P-1058,2026-09-07,PM,/,
P-1058,2026-09-08,AM,/,
P-1058,2026-09-08,PM,/,
P-1058,2026-09-10,AM,/,
P-1058,2026-09-10,PM,/,
P-1058,2026-09-11,AM,/,
P-1058,2026-09-11,PM,/,
P-1058,2026-09-14,AM,/,
P-1058,2026-09-14,PM,/,
P-1058,2026-09-16,AM,/,
P-1058,2026-09-16,PM,/,
P-1058,2026-09-17,AM,N,
P-1058,2026-09-17,PM,/,
P-1058,2026-09-18,AM,/,
P-1058,2026-09-18,PM,/,
P-1058,2026-09-21,AM,/,
P-1058,2026-09-21,PM,/,
P-1058,2026-09-22,AM,/,
P-1058,2026-09-22,PM,/,
P-1058,2026-09-23,AM,/,
P-1058,2026-09-23,PM,/,
P-1058,2026-09-24,AM,/,
P-1058,2026-09-24,PM,/,
P-1058,2026-09-25,AM,/,
P-1058,2026-09-25,PM,/,
P-1064,2026-09-07,AM,/,
P-1064,2026-09-07,PM,/,
P-1064,2026-09-08,AM,/,
P-1064,2026-09-08,PM,/,
P-1064,2026-09-10,AM,I,
P-1064,2026-09-10,PM,I,
P-1064,2026-09-11,AM,/,
P-1064,2026-09-11,PM,/,
P-1064,2026-09-14,AM,/,
P-1064,2026-09-14,PM,/,
P-1064,2026-09-16,AM,/,
P-1064,2026-09-16,PM,/,
P-1064,2026-09-17,AM,/,
P-1064,2026-09-17,PM,/,
P-1064,2026-09-18,AM,/,
P-1064,2026-09-18,PM,/,
P-1064,2026-09-21,AM,/,
P-1064,2026-09-21,PM,/,
P-1064,2026-09-22,AM,/,
P-1064,2026-09-22,PM,/,
P-1064,2026-09-23,AM,/,
P-1064,2026-09-23,PM,/,
P-1064,2026-09-24,AM,/,
P-1064,2026-09-24,PM,/,
P-1064,2026-09-25,AM,/,
P-1064,2026-09-25,PM,/,
P-1090,2026-09-07,AM,/,
P-1090,2026-09-07,PM,/,
P-1090,2026-09-08,AM,/,
P-1090,2026-09-08,PM,/,
P-1090,2026-09-10,AM,/,
P-1090,2026-09-10,PM,/,
P-1090,2026-09-11,AM,/,
P-1090,2026-09-11,PM,/,
P-1090,2026-09-14,AM,/,
P-1090,2026-09-14,PM,/,
P-1090,2026-09-16,AM,/,
P-1090,2026-09-16,PM,/,
P-1090,2026-09-17,AM,/,
P-1090,2026-09-17,PM,/,
P-1090,2026-09-18,AM,/,
P-1090,2026-09-18,PM,/,
P-1090,2026-09-21,AM,/,
P-1090,2026-09-21,PM,/,
P-1090,2026-09-22,AM,/,
P-1090,2026-09-22,PM,/,
P-1090,2026-09-23,AM,/,
P-1090,2026-09-23,PM,/,
P-1090,2026-09-24,AM,/,
P-1090,2026-09-24,PM,/,
P-1090,2026-09-25,AM,/,
P-1090,2026-09-25,PM,/,
P-1102,2026-09-07,AM,/,
P-1102,2026-09-07,PM,/,
P-1102,2026-09-08,AM,/,
P-1102,2026-09-08,PM,/,
P-1102,2026-09-10,AM,/,
P-1102,2026-09-10,PM,/,
P-1102,2026-09-11,AM,/,
P-1102,2026-09-11,PM,/,
P-1102,2026-09-14,AM,/,
P-1102,2026-09-14,PM,/,
P-1102,2026-09-16,AM,/,
P-1102,2026-09-16,PM,/,
P-1102,2026-09-17,AM,/,
P-1102,2026-09-17,PM,/,
P-1102,2026-09-18,AM,/,
P-1102,2026-09-18,PM,/,
P-1102,2026-09-21,AM,/,
P-1102,2026-09-21,PM,/,
P-1102,2026-09-22,AM,/,
P-1102,2026-09-22,PM,/,
P-1102,2026-09-23,AM,/,
P-1102,2026-09-23,PM,/,
P-1102,2026-09-24,AM,/,
P-1102,2026-09-24,PM,/,
P-1102,2026-09-25,AM,/,
P-1102,2026-09-25,PM,/,
P-1118,2026-09-07,AM,/,
P-1118,2026-09-07,PM,/,
P-1118,2026-09-08,AM,/,
P-1118,2026-09-08,PM,/,
P-1118,2026-09-10,AM,/,
P-1118,2026-09-10,PM,/,
P-1118,2026-09-11,AM,/,
P-1118,2026-09-11,PM,/,
P-1118,2026-09-14,AM,/,
