catalogue_id,name,type,channel,handle,city,category,followers,rate_estimate_pkr
zohaeatskarachi,Zoha Sultan,creator,instagram,@zohaeatskarachi,Karachi,Food,128000,
khokharkitchen,Bilal Khokhar,creator,youtube,@khokharkitchen,Lahore,Food,412000,
junaidstreetfood,Junaid Aslam,creator,youtube,@junaidstreetfood,Karachi,Food,1120000,
noorbudgetbites,Noor Ul Ain,creator,tiktok,@noorbudgetbites,Lahore,Food,358000,
zainabglowdiary,Zainab Qureshi,creator,instagram,@zainabglowdiary,Karachi,Beauty,236000,
ridaskincarepk,Rida Kamal,creator,instagram,@ridaskincarepk,Lahore,Beauty,141000,
anumbridalstudio,Anum Zafar,creator,instagram,@anumbridalstudio,Lahore,Beauty / Bridal,174000,
mahnoorstyleco,Mahnoor Abbasi,creator,instagram,@mahnoorstyleco,Lahore,Fashion,189000,
hiradrapes,Hira Malik,creator,instagram,@hiradrapes,Karachi,Fashion,67000,
hamzatechurdu,Hamza Sheikh,creator,youtube,@hamzatechurdu,Islamabad,Tech,655000,
shahzebgamingpk,Shahzeb Anwar,creator,youtube,@shahzebgamingpk,Karachi,Gaming,913000,
kamranpaisabaat,Kamran Butt,creator,youtube,@kamranpaisabaat,Islamabad,Personal Finance,122000,
danishlearnsmath,Danish Alvi,creator,youtube,@danishlearnsmath,Multan,Education,287000,
mominareadspk,Momina Rauf,creator,instagram,@mominareadspk,Islamabad,Books / Education,43000,
sanafitpk,Sana Farooq,creator,instagram,@sanafitpk,Islamabad,Fitness,74000,
iqramomlife,Iqra Nadeem,creator,instagram,@iqramomlife,Rawalpindi,Parenting,96000,
faisalroamspk,Faisal Mehmood,creator,youtube,@faisalroamspk,Peshawar,Travel,540000,
usmanlaughsout,Usman Raza,creator,tiktok,@usmanlaughsout,Faisalabad,Comedy,1240000,
waleedcricketgalli,Waleed Ahmad,creator,tiktok,@waleedcricketgalli,Rawalpindi,Cricket,1580000,
talhaonwheels,Talha Yousuf,creator,youtube,@talhaonwheels,Karachi,Auto,318000,
adeelbikespk,Adeel Jamil,creator,tiktok,@adeelbikespk,Multan,Auto,246000,
areebahomemade,Areeba Siddiqui,creator,tiktok,@areebahomemade,Hyderabad,Home / DIY,205000,
sidrasgharana,Sidra Yaseen,creator,instagram,@sidrasgharana,Faisalabad,Home / DIY,88000,
rehanfixesit,Rehan Qadir,creator,tiktok,@rehanfixesit,Peshawar,Home / DIY,61000,
