catalogue_id,name,type,channel,city,frequency_mhz,owner,audience_daily,rate_estimate_pkr
fm-100-khi,FM 100,station,radio,Karachi,100.0,Pirzada Family,,
fm-100-lhr,FM 100,station,radio,Lahore,100.0,Pirzada Family,,
fm-100-isb,FM 100,station,radio,Islamabad,100.0,Pirzada Family,,
fm-100-hyd,FM 100,station,radio,Hyderabad,100.0,Pirzada Family,,
fm-100-mul,FM 100,station,radio,Multan,100.0,Pirzada Family,,
fm-100-ryk,FM 100,station,radio,Rahim Yar Khan,100.0,Pirzada Family,,
fm-100-guj,FM 100,station,radio,Gujrat,100.0,Pirzada Family,,
fm-100-jhl,FM 100,station,radio,Jhelum,100.0,Pirzada Family,,
fm-100-atd,FM 100,station,radio,Abbottabad,100.0,Pirzada Family,,
mast-fm-103-lhr,Mast FM 103,station,radio,Lahore,103.0,Muhammad Imran Bajwa,,
mast-fm-103-khi,Mast FM 103,station,radio,Karachi,103.0,Muhammad Imran Bajwa,,
mast-fm-103-fsd,Mast FM 103,station,radio,Faisalabad,103.0,Muhammad Imran Bajwa,,
mast-fm-103-mul,Mast FM 103,station,radio,Multan,103.0,Muhammad Imran Bajwa,,
city-fm-89-khi,City FM 89,station,radio,Karachi,89.0,Dawn Media Group,,
city-fm-89-lhr,City FM 89,station,radio,Lahore,89.0,Dawn Media Group,,
city-fm-89-isb,City FM 89,station,radio,Islamabad,89.0,Dawn Media Group,,
city-fm-89-fsd,City FM 89,station,radio,Faisalabad,89.0,Dawn Media Group,,
fm-101-khi,FM 101,station,radio,Karachi,101.0,Pakistan Broadcasting Corporation,,
fm-101-lhr,FM 101,station,radio,Lahore,101.0,Pakistan Broadcasting Corporation,,
fm-101-isb,FM 101,station,radio,Islamabad,101.0,Pakistan Broadcasting Corporation,,
fm-101-hyd,FM 101,station,radio,Hyderabad,101.0,Pakistan Broadcasting Corporation,,
mera-fm-1074-khi,MERA FM 107.4,station,radio,Karachi,107.4,Project Implementation Managers,,
mera-fm-1074-lhr,MERA FM 107.4,station,radio,Lahore,107.4,Project Implementation Managers,,
mera-fm-1074-isb,MERA FM 107.4,station,radio,Islamabad,107.4,Project Implementation Managers,,
mera-fm-1074-pew,MERA FM 107.4,station,radio,Peshawar,107.4,Project Implementation Managers,,
mera-fm-1074-slk,MERA FM 107.4,station,radio,Sialkot,107.4,Project Implementation Managers,,
mera-fm-1074-bwp,MERA FM 107.4,station,radio,Bahawalpur,107.4,Project Implementation Managers,,
power-99-isb,Power Radio FM 99,station,radio,Islamabad,99.0,The Communicators,,
power-99-atd,Power Radio FM 99,station,radio,Abbottabad,99.0,The Communicators,,
power-99-veh,Power Radio FM 99,station,radio,Vehari,99.0,The Communicators,,
fm-91-khi,FM91,station,radio,Karachi,91.0,Air Waves Media (Interflow Group),,
fm-91-lhr,FM91,station,radio,Lahore,91.0,Air Waves Media (Interflow Group),,
fm-91-isb,FM91,station,radio,Islamabad,91.0,Air Waves Media (Interflow Group),,
fm-91-gwd,FM91,station,radio,Gwadar,91.0,Air Waves Media (Interflow Group),,
karachi-fm-96-khi,Karachi FM 96,station,radio,Karachi,96.0,Vectracom Broadcasting Services,,
